#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr14_KI270723v1_random	1	38115	37	4403	11.5519	0.138266	35.9	48.3
chr14_KI270724v1_random	1	39555	54	6727	17.0067	0.19952	35.6	41
chr14_KI270725v1_random	1	172810	150	20055	11.6052	0.128991	36	37.1
chr15_KI270727v1_random	1	448248	70	9373	2.09103	0.0226125	35.9	0
chr16_KI270728v1_random	1	1872759	606	80085	4.27631	0.0479426	35.6	13.4
chr17_GL000205v2_random	1	185591	292	34017	18.329	0.233476	35.4	48
chr17_KI270729v1_random	1	280839	656	35293	12.567	0.25824	34.5	23.2
chr17_KI270730v1_random	1	112551	258	15247	13.5467	0.212846	34.9	13.1
chr22_KI270731v1_random	1	150754	109	14938	9.90886	0.108216	35.8	10.3
chr22_KI270732v1_random	1	41543	79	9331	22.4611	0.281106	35.3	40
chr22_KI270733v1_random	1	179772	2073	71723	39.8966	1.68037	35	16
chr22_KI270734v1_random	1	165050	85	11991	7.26507	0.0763223	35.5	9.91
chr22_KI270735v1_random	1	42811	225	13242	30.9313	0.651935	35.3	27.4
chr22_KI270736v1_random	1	181920	624	34093	18.7407	0.282064	34.7	18.6
chr22_KI270737v1_random	1	103838	82	7322	7.05137	0.0866542	34.6	14.6
chr22_KI270738v1_random	1	99375	75	10131	10.1947	0.108941	35.7	49.7
chr22_KI270739v1_random	1	73985	14	1704	2.30317	0.0265459	34.8	22.6
chrY_KI270740v1_random	1	37240	4	604	1.62191	0.0162191	36.6	13.5
chrUn_KI270303v1	1	1942	1	151	7.77549	0.0777549	36.7	0
chrUn_KI270305v1	1	1472	2	302	20.5163	0.205163	36.6	42.5
chrUn_KI270322v1	1	21476	10	973	4.53064	0.0652822	35.3	11.4
chrUn_KI270320v1	1	4416	7	1012	22.9167	0.239357	34.4	22.9
chrUn_KI270316v1	1	1444	3	302	20.9141	0.310942	35.3	2.33
chrUn_KI270315v1	1	2276	6	279	12.2583	0.39587	34.2	25.2
chrUn_KI270312v1	1	998	1	151	15.1303	0.151303	36.9	0
chrUn_KI270311v1	1	12399	5	507	4.08904	0.0561336	35.7	25
chrUn_KI270414v1	1	2489	1	151	6.06669	0.0606669	36.7	0
chrUn_KI270419v1	1	1029	2	302	29.3489	0.293489	36.3	40
chrUn_KI270418v1	1	2145	4	529	24.662	0.247552	33.1	45
chrUn_KI270420v1	1	2321	5	717	30.8919	0.325291	35.4	22.4
chrUn_KI270417v1	1	2043	3	453	22.1733	0.221733	36.2	46.7
chrUn_KI270429v1	1	1361	1	151	11.0948	0.110948	35.2	60
chrUn_KI270442v1	1	392061	809	75774	19.3271	0.254965	35.3	39.3
chrUn_KI270466v1	1	1233	167	1228	99.5945	19.4526	36	41.2
chrUn_KI270465v1	1	1774	2	298	16.7982	0.167982	35.1	50
chrUn_KI270467v1	1	3920	604	2854	72.8061	22.1069	35.9	50.1
chrUn_KI270435v1	1	92983	137	13679	14.7113	0.193304	35.6	40.3
chrUn_KI270438v1	1	112505	3051	23257	20.672	3.87865	35.1	30.9
chrUn_KI270468v1	1	4055	10	1510	37.238	0.37238	33.6	49.3
chrUn_KI270510v1	1	2415	6	838	34.6998	0.360248	36.6	58.3
chrUn_KI270509v1	1	2318	7	867	37.4029	0.454702	36	57
chrUn_KI270518v1	1	2186	7	821	37.5572	0.483532	36.5	35.9
chrUn_KI270508v1	1	1951	1	151	7.73962	0.0773962	34	60
chrUn_KI270512v1	1	22689	31	3028	13.3457	0.185729	35.5	27.2
chrUn_KI270519v1	1	138126	179	21305	15.4243	0.184752	35.5	43.6
chrUn_KI270522v1	1	5674	5	515	9.07649	0.116849	36.2	34.8
chrUn_KI270511v1	1	8127	8	976	12.0094	0.14864	35	60
chrUn_KI270515v1	1	6361	18	1605	25.2319	0.423833	35.6	49.6
chrUn_KI270507v1	1	5353	8	1153	21.5393	0.224921	33.9	49
chrUn_KI270517v1	1	3253	5	614	18.8749	0.232093	35.8	44
chrUn_KI270539v1	1	993	2	50	5.03525	0.100705	36.8	0
chrUn_KI270538v1	1	91309	136	14485	15.8637	0.220427	35.4	41.7
chrUn_KI270544v1	1	1202	2	291	24.2097	0.251248	34.8	21
chrUn_KI270583v1	1	1400	8	878	62.7143	0.862857	36.1	60
chrUn_KI270587v1	1	2969	6	897	30.2122	0.302122	34.5	23.8
chrUn_KI270581v1	1	7046	12	1479	20.9906	0.25518	34.8	5.17
chrUn_KI270579v1	1	31033	12	1343	4.32765	0.0489157	34.7	14.7
chrUn_KI270589v1	1	44474	80	6741	15.1572	0.210033	35.4	15.7
chrUn_KI270590v1	1	4685	11	1169	24.952	0.342369	36.2	51.2
chrUn_KI270584v1	1	4513	8	1021	22.6235	0.266785	35.3	60
chrUn_KI270582v1	1	6504	10	1250	19.2189	0.232165	36.1	15.5
chrUn_KI270588v1	1	6158	20	2108	34.2319	0.474342	35	49.8
chrUn_KI270593v1	1	3041	6	715	23.512	0.297928	36.3	53
chrUn_KI270591v1	1	5796	28	2157	37.2153	0.631125	35.7	44.5
chrUn_KI270330v1	1	1652	10	494	29.9031	0.822639	34.6	39.5
chrUn_KI270334v1	1	1368	2	302	22.076	0.22076	36	0
chrUn_KI270333v1	1	2699	88	2378	88.1067	4.64728	35.8	19.1
chrUn_KI270335v1	1	1048	2	302	28.8168	0.288168	36.8	0
chrUn_KI270340v1	1	1428	2	302	21.1485	0.211485	28.5	0
chrUn_KI270336v1	1	1026	18	769	74.9513	2.2271	35.6	12.3
chrUn_KI270337v1	1	1121	136	900	80.2855	17.8073	36.3	28.8
chrUn_KI270364v1	1	2855	2	249	8.72154	0.0872154	35.9	4.5
chrUn_KI270362v1	1	3530	2	302	8.55524	0.0855524	36.8	54
chrUn_KI270366v1	1	8320	2	302	3.62981	0.0362981	33.5	0
chrUn_KI270382v1	1	4215	2	209	4.95848	0.0716489	36.4	50
chrUn_KI270374v1	1	2656	4	604	22.741	0.22741	36.7	0
chrUn_KI270371v1	1	2805	4	493	17.5758	0.21533	36.7	12
chrUn_KI270448v1	1	7992	8	1067	13.3509	0.143393	36	36.2
chrUn_KI270521v1	1	7642	3	378	4.94635	0.0592777	36.3	1.67
chrUn_GL000195v1	1	182896	200	24718	13.5148	0.163629	35.4	27.1
chrUn_GL000219v1	1	179198	155	19912	11.1117	0.129533	35.4	49.8
chrUn_GL000220v1	1	161802	1976	62222	38.4556	1.78477	35.1	4.83
chrUn_GL000224v1	1	179693	537	33657	18.7303	0.444018	35.3	20.6
chrUn_KI270741v1	1	157432	50	6830	4.33838	0.0470489	35.8	4.08
chrUn_GL000226v1	1	15008	371	11367	75.7396	3.72201	35.9	1.33
chrUn_GL000213v1	1	164239	52	7436	4.52755	0.0477475	35.9	11.7
chrUn_KI270743v1	1	210658	214	27134	12.8806	0.152104	35.5	29
chrUn_KI270744v1	1	168472	487	29645	17.5964	0.421198	35.6	21.2
chrUn_KI270745v1	1	41891	8	1208	2.88367	0.0288367	33.9	14.2
chrUn_KI270746v1	1	66486	106	13836	20.8104	0.238968	35.9	48.7
chrUn_KI270747v1	1	198735	37	4371	2.19941	0.0258837	36	14.6
chrUn_KI270748v1	1	93321	25	3375	3.61655	0.0386515	34.5	2
chrUn_KI270749v1	1	158759	141	17665	11.1269	0.131388	35.7	38.6
chrUn_KI270750v1	1	148850	151	19904	13.3719	0.152791	35.6	38.3
chrUn_KI270751v1	1	150742	244	29273	19.4193	0.2398	35.7	21
chrUn_KI270753v1	1	62944	36	4729	7.51303	0.0860447	36.2	13
chrUn_KI270754v1	1	40191	80	9461	23.5401	0.300042	35.8	18.7
chrUn_KI270755v1	1	36723	12	1497	4.07646	0.0493424	36.6	16.3
chrUn_KI270756v1	1	79590	90	6387	8.02488	0.10284	34.7	14.1
chrUn_KI270757v1	1	71251	121	12287	17.2447	0.227758	35.9	35.7
chrUn_GL000214v1	1	137718	327	28174	20.4577	0.348756	35.5	13.5
chrUn_KI270742v1	1	186739	281	35197	18.8482	0.224929	35.6	23.6
chrUn_GL000216v2	1	176608	736	36686	20.7726	0.471462	35	15.7
chrUn_GL000218v1	1	161147	161	20562	12.7598	0.149789	35.7	36.2
chr1_KI270762v1_alt	1	354444	188	21400	6.03763	0.0719747	34.9	3.99
chr1_KI270766v1_alt	1	256271	97	13028	5.08368	0.0563154	34.8	6.01
chr1_KI270760v1_alt	1	109528	26	3511	3.20557	0.0358447	35.9	2.08
chr1_KI270765v1_alt	1	185285	92	11874	6.40851	0.0721483	36.1	5.29
chr1_GL383518v1_alt	1	182439	51	6899	3.78154	0.0421785	36	0
chr1_GL383519v1_alt	1	110268	32	4484	4.06646	0.0437933	35.8	0
chr1_GL383520v2_alt	1	366580	117	15535	4.23782	0.0478204	35.5	0
chr1_KI270764v1_alt	1	50258	12	1778	3.53775	0.0360341	35.7	10
chr1_KI270763v1_alt	1	911658	271	36938	4.05174	0.044509	35.7	0.756
chr1_KI270759v1_alt	1	425601	154	20530	4.82377	0.0532706	35.5	1.73
chr1_KI270761v1_alt	1	165834	64	8252	4.97606	0.0575636	36	0.938
chr2_KI270770v1_alt	1	136240	24	3186	2.33852	0.0255945	34.9	0
chr2_KI270773v1_alt	1	70887	19	2709	3.82158	0.0400073	34.6	1.37
chr2_KI270774v1_alt	1	223625	61	8242	3.68563	0.0403846	35.4	20
chr2_KI270769v1_alt	1	120616	36	4864	4.03263	0.0444717	35.7	0
chr2_GL383521v1_alt	1	143390	52	6922	4.82739	0.0539298	35.6	1.98
chr2_KI270772v1_alt	1	133041	198	16757	12.5954	0.215475	35.6	6.48
chr2_KI270775v1_alt	1	138019	18	2206	1.59833	0.0194611	36.6	0
chr2_KI270771v1_alt	1	110395	46	6469	5.85987	0.0628108	35.6	0
chr2_KI270768v1_alt	1	110099	29	3797	3.44871	0.0387106	35.8	9.45
chr2_GL582966v2_alt	1	96131	46	3309	3.44218	0.0505248	33.6	2.07
chr2_GL383522v1_alt	1	123821	44	6285	5.07588	0.053545	35.9	14
chr2_KI270776v1_alt	1	174166	54	7077	4.06336	0.0455772	35.7	1
chr2_KI270767v1_alt	1	161578	42	5562	3.4423	0.0354256	35.5	0
chr3_JH636055v2_alt	1	173151	70	9300	5.37103	0.0605541	35.2	4.5
chr3_KI270783v1_alt	1	109187	26	3583	3.28153	0.0359567	36.3	4.62
chr3_KI270780v1_alt	1	224108	78	10436	4.65668	0.0513681	35.7	5.14
chr3_GL383526v1_alt	1	180671	66	9173	5.07718	0.055161	35.8	12.2
chr3_KI270777v1_alt	1	173649	44	6139	3.53529	0.0378234	35.3	0
chr3_KI270778v1_alt	1	248252	60	7940	3.19836	0.0358225	35	0
chr3_KI270781v1_alt	1	113034	36	4950	4.37921	0.0477113	35.8	12.9
chr3_KI270779v1_alt	1	205312	32	4252	2.07099	0.0219617	35.5	2.66
chr3_KI270782v1_alt	1	162429	54	6828	4.20368	0.0490984	35.7	1.44
chr3_KI270784v1_alt	1	184404	75	9931	5.38546	0.0587026	35.4	2.01
chr4_KI270790v1_alt	1	220246	47	6729	3.05522	0.0314966	35.5	0
chr4_GL383528v1_alt	1	376187	91	12938	3.43925	0.0357429	35.9	0
chr4_KI270787v1_alt	1	111943	30	3965	3.54198	0.0396452	35.9	12.2
chr4_GL000257v2_alt	1	586476	174	22870	3.89956	0.0440512	36	6.45
chr4_KI270788v1_alt	1	158965	49	6627	4.16884	0.0450854	35.5	13.4
chr4_GL383527v1_alt	1	164536	50	7418	4.50844	0.0458745	36	4.56
chr4_KI270785v1_alt	1	119912	34	4322	3.60431	0.0428147	36.3	4.41
chr4_KI270789v1_alt	1	205944	79	9949	4.83092	0.0573117	35.7	0
chr4_KI270786v1_alt	1	244096	36	4797	1.96521	0.0217046	34.7	1.06
chr5_KI270793v1_alt	1	126136	57	6989	5.54084	0.0637328	35.7	0
chr5_KI270792v1_alt	1	179043	55	7293	4.07332	0.0431684	34.6	4.29
chr5_KI270791v1_alt	1	195710	78	10868	5.55311	0.0589035	35.6	0.141
chr5_GL383532v1_alt	1	82728	16	1965	2.37525	0.0292041	36.3	4.5
chr5_GL949742v1_alt	1	226852	75	10071	4.43946	0.0492612	35.9	8.09
chr5_KI270794v1_alt	1	164558	36	5071	3.08159	0.0329428	35.7	0.194
chr5_GL339449v2_alt	1	1612928	418	57027	3.53562	0.0389342	35.8	4.75
chr5_GL383530v1_alt	1	101241	20	2672	2.63925	0.0298298	36.3	12
chr5_KI270796v1_alt	1	172708	46	6655	3.85332	0.0402182	34.8	0
chr5_GL383531v1_alt	1	173459	44	5919	3.41233	0.0382742	35.7	1.23
chr5_KI270795v1_alt	1	131892	44	5661	4.29215	0.0494116	36	12.7
chr6_GL000250v2_alt	1	4672374	267	37016	0.792231	0.00858707	36	0.689
chr6_KI270800v1_alt	1	175808	60	8198	4.66304	0.0515051	35.9	0.1
chr6_KI270799v1_alt	1	152148	30	4324	2.84197	0.0297736	36.3	3.17
chr6_GL383533v1_alt	1	124736	60	7895	6.32937	0.0726334	36.1	17.9
chr6_KI270801v1_alt	1	870480	276	37639	4.32394	0.0474727	35.8	0.435
chr6_KI270802v1_alt	1	75005	14	1937	2.58249	0.0281715	36	8.57
chr6_KB021644v2_alt	1	185823	38	5244	2.82204	0.0295819	36.2	3
chr6_KI270797v1_alt	1	197536	55	7604	3.84942	0.0407571	35.2	7.62
chr6_KI270798v1_alt	1	271782	70	9382	3.45203	0.0384352	35.3	0
chr7_KI270804v1_alt	1	157952	52	7349	4.65268	0.0488693	35.5	3.85
chr7_KI270809v1_alt	1	209586	82	11679	5.57241	0.0587921	35.5	6.26
chr7_KI270806v1_alt	1	158166	57	7645	4.83353	0.0540508	35.2	3.19
chr7_GL383534v2_alt	1	119183	30	3873	3.24962	0.0380088	36.1	0
chr7_KI270803v1_alt	1	1111570	340	46805	4.21071	0.0452639	35.7	9.98
chr7_KI270808v1_alt	1	271455	102	13601	5.01041	0.0554788	35.7	2.69
chr7_KI270807v1_alt	1	126434	38	4831	3.82097	0.0442049	35.9	4.79
chr7_KI270805v1_alt	1	209988	88	10969	5.22363	0.0613178	35.2	7.24
chr8_KI270818v1_alt	1	145606	42	5257	3.61043	0.0415161	34.8	2.86
chr8_KI270812v1_alt	1	282736	86	11175	3.95245	0.0450668	35.4	0
chr8_KI270811v1_alt	1	292436	70	9474	3.23968	0.0348726	35.2	5.9
chr8_KI270821v1_alt	1	985506	255	35664	3.61885	0.0382311	35.8	6.55
chr8_KI270813v1_alt	1	300230	158	20952	6.97865	0.0783633	35.8	11.6
chr8_KI270822v1_alt	1	624492	182	24890	3.98564	0.0439894	36	5.36
chr8_KI270814v1_alt	1	141812	58	7789	5.49248	0.061377	35.8	0
chr8_KI270810v1_alt	1	374415	113	15441	4.12403	0.0455003	36	3.95
chr8_KI270819v1_alt	1	133535	45	6054	4.53364	0.0502939	35.3	6.53
chr8_KI270820v1_alt	1	36640	15	1941	5.29749	0.0593341	35.3	34.7
chr8_KI270817v1_alt	1	158983	65	8354	5.25465	0.0596227	35.5	2.49
chr8_KI270816v1_alt	1	305841	132	17644	5.76901	0.0636213	35.8	3.27
chr8_KI270815v1_alt	1	132244	58	7877	5.95641	0.0651069	35.2	2.07
chr9_GL383539v1_alt	1	162988	56	7697	4.72243	0.0517952	35.8	1.93
chr9_GL383540v1_alt	1	71551	21	2859	3.99575	0.0430742	35.5	0
chr9_GL383541v1_alt	1	171286	46	5422	3.16547	0.0370959	35	7.2
chr9_GL383542v1_alt	1	60032	41	5814	9.68483	0.101879	35.8	29.1
chr9_KI270823v1_alt	1	439082	147	20417	4.64993	0.0503619	35.7	1.9
chr10_GL383545v1_alt	1	179254	71	9764	5.44702	0.0589164	36.2	23.7
chr10_KI270824v1_alt	1	181496	76	9786	5.39185	0.0576652	35.6	0.711
chr10_GL383546v1_alt	1	309802	110	14994	4.83987	0.0523463	35.5	7.78
chr10_KI270825v1_alt	1	188315	56	7798	4.14093	0.0445689	35.9	0
chr11_KI270832v1_alt	1	210133	63	8694	4.13738	0.0435296	35.5	5.49
chr11_KI270830v1_alt	1	177092	40	5343	3.01708	0.0328247	35.3	1.25
chr11_KI270831v1_alt	1	296895	100	14102	4.74983	0.0506408	35.5	13.5
chr11_KI270829v1_alt	1	204059	48	6395	3.1339	0.0344508	36.2	1.29
chr11_GL383547v1_alt	1	154407	39	5633	3.64815	0.038133	36	4.62
chr11_JH159136v1_alt	1	200998	58	8240	4.09954	0.0435576	35.5	2.07
chr11_JH159137v1_alt	1	191409	49	6303	3.29295	0.0381173	36.2	10.4
chr11_KI270827v1_alt	1	67707	22	2884	4.25953	0.0484145	34.6	4.09
chr11_KI270826v1_alt	1	186169	41	5383	2.89146	0.0317668	36	0.732
chr12_GL877875v1_alt	1	167313	121	15806	9.44696	0.106925	35.5	19.1
chr12_GL877876v1_alt	1	408271	93	12982	3.17975	0.0343963	36.1	0
chr12_KI270837v1_alt	1	40090	13	1814	4.52482	0.0489648	36.1	0
chr12_GL383549v1_alt	1	120804	42	5923	4.90298	0.0523575	36	4.19
chr12_KI270835v1_alt	1	238139	63	8648	3.63149	0.0397541	35.6	1.46
chr12_GL383550v2_alt	1	169178	56	7823	4.62412	0.0499533	35.9	10.8
chr12_GL383552v1_alt	1	138655	30	4051	2.92164	0.03257	36.1	0
chr12_GL383553v2_alt	1	152874	30	4258	2.7853	0.0288015	35.4	0
chr12_KI270834v1_alt	1	119498	46	6273	5.24946	0.057139	35.8	0
chr12_GL383551v1_alt	1	184319	64	8740	4.74178	0.0523929	35.7	4.94
chr12_KI270833v1_alt	1	76061	18	2440	3.20795	0.0353795	35.5	5.78
chr12_KI270836v1_alt	1	56134	15	1770	3.15317	0.0364841	34.1	16.5
chr13_KI270840v1_alt	1	191684	63	8415	4.39004	0.0488304	36.2	1.05
chr13_KI270839v1_alt	1	180306	63	8578	4.75747	0.0514514	35.8	8.29
chr13_KI270843v1_alt	1	103832	38	5185	4.99364	0.0544341	36.1	4.58
chr13_KI270841v1_alt	1	169134	43	5567	3.29147	0.0374496	35.7	12
chr13_KI270838v1_alt	1	306913	126	17211	5.60778	0.0616592	35.6	0.0952
chr13_KI270842v1_alt	1	37287	17	2348	6.2971	0.0659747	36.2	9.24
chr14_KI270844v1_alt	1	322166	118	15702	4.87388	0.0550958	35.9	0.458
chr14_KI270847v1_alt	1	1511111	507	68239	4.51582	0.0501247	35.8	0.197
chr14_KI270845v1_alt	1	180703	67	9280	5.1355	0.0556106	35.6	2.48
chr14_KI270846v1_alt	1	1351393	335	43833	3.24354	0.036549	35.8	2.71
chr15_KI270852v1_alt	1	478999	68	9319	1.94552	0.0212902	35.7	0
chr15_KI270851v1_alt	1	263054	64	8168	3.10507	0.0364868	35.5	4.47
chr15_KI270848v1_alt	1	327382	67	8978	2.74236	0.030188	34.9	1.79
chr15_GL383554v1_alt	1	296527	78	11303	3.81179	0.0396726	35.2	0
chr15_KI270849v1_alt	1	244917	66	8818	3.6004	0.0406913	35.9	3.89
chr15_GL383555v2_alt	1	388773	153	21333	5.48726	0.0592968	35.4	6.18
chr15_KI270850v1_alt	1	430880	158	20947	4.86145	0.0553565	35.6	3.54
chr16_KI270854v1_alt	1	134193	13	1870	1.39352	0.0142705	36.4	4.15
chr16_KI270856v1_alt	1	63982	22	3051	4.76853	0.0519209	35.8	2.45
chr16_KI270855v1_alt	1	232857	82	10916	4.68786	0.050881	35.5	0
chr16_KI270853v1_alt	1	2659700	959	129116	4.85453	0.0536196	35.7	6.18
chr16_GL383556v1_alt	1	192462	64	8291	4.30786	0.0502125	35.8	6.53
chr16_GL383557v1_alt	1	89672	29	4024	4.48747	0.047473	35.4	4.34
chr17_GL383563v3_alt	1	375691	114	14710	3.91545	0.0430859	35.4	8.5
chr17_KI270862v1_alt	1	391357	128	17672	4.51557	0.0481427	35	3.31
chr17_KI270861v1_alt	1	196688	51	6806	3.4603	0.0383297	35.6	1.84
chr17_KI270857v1_alt	1	2877074	1013	139605	4.85233	0.0526747	35.5	3.97
chr17_JH159146v1_alt	1	278131	116	15518	5.57939	0.0626539	35.6	4.03
chr17_JH159147v1_alt	1	70345	18	2431	3.45582	0.0383396	36.3	15.3
chr17_GL383564v2_alt	1	133151	43	6314	4.74198	0.0487567	35.6	1.26
chr17_GL000258v2_alt	1	1821992	545	74100	4.06698	0.0444201	35.6	17.3
chr17_GL383565v1_alt	1	223995	73	9886	4.41349	0.0478537	35.9	0
chr17_KI270858v1_alt	1	235827	37	5139	2.17914	0.0236911	35.4	0
chr17_KI270859v1_alt	1	108763	39	5272	4.84724	0.0541453	36.2	4.46
chr17_GL383566v1_alt	1	90219	19	2557	2.83421	0.0299272	35.5	0
chr17_KI270860v1_alt	1	178921	65	8559	4.78368	0.0525036	35.4	6.98
chr18_KI270864v1_alt	1	111737	28	3822	3.42053	0.0377225	36.1	0
chr18_GL383567v1_alt	1	289831	104	14655	5.05639	0.0541591	35.8	3.98
chr18_GL383570v1_alt	1	164789	32	4774	2.89704	0.0293223	36.1	4.72
chr18_GL383571v1_alt	1	198278	43	5930	2.99075	0.0319904	35.9	9.77
chr18_GL383568v1_alt	1	104552	27	3972	3.79907	0.0389949	36.4	12
chr18_GL383569v1_alt	1	167950	32	4320	2.57219	0.028312	35.5	7.19
chr18_GL383572v1_alt	1	159547	30	3987	2.49895	0.0271331	35.6	5.13
chr18_KI270863v1_alt	1	167999	33	4743	2.82323	0.0294883	34.6	3.27
chr19_KI270868v1_alt	1	61734	17	2190	3.54748	0.0391194	35	8.24
chr19_KI270865v1_alt	1	52969	22	3028	5.71655	0.0611679	35.1	5.45
chr19_GL383573v1_alt	1	385657	88	12417	3.2197	0.0342844	35.8	0.864
chr19_GL383575v2_alt	1	170222	49	7003	4.11404	0.0425797	35.6	5.43
chr19_GL383576v1_alt	1	188024	54	7362	3.91546	0.0433668	35.8	6.22
chr19_GL383574v1_alt	1	155864	66	8619	5.52982	0.0626379	36	12.7
chr19_KI270866v1_alt	1	43156	20	2627	6.08722	0.0620539	34.7	6.6
chr19_KI270867v1_alt	1	233762	66	9186	3.92964	0.0426331	35.7	0
chr19_GL949746v1_alt	1	987716	88	12217	1.23689	0.0132366	36	0.0568
chr20_GL383577v2_alt	1	128386	40	5249	4.08845	0.0461421	35.5	4.65
chr20_KI270869v1_alt	1	118774	34	4604	3.87627	0.0432249	36.6	7.26
chr20_KI270871v1_alt	1	58661	15	1993	3.39749	0.0366854	35.5	10.1
chr20_KI270870v1_alt	1	183433	84	10638	5.79939	0.0647212	34.8	2.6
chr21_GL383578v2_alt	1	63917	28	4071	6.3692	0.0661483	35.6	25
chr21_KI270874v1_alt	1	166743	46	6224	3.73269	0.0416269	35.6	1.17
chr21_KI270873v1_alt	1	143900	50	6633	4.60945	0.0522863	36	0
chr21_GL383579v2_alt	1	201197	48	6629	3.29478	0.035428	35.6	1.25
chr21_GL383580v2_alt	1	74653	33	3725	4.98975	0.0569702	35.6	12
chr21_GL383581v2_alt	1	116689	44	5967	5.11359	0.0551123	34.5	4.09
chr21_KI270872v1_alt	1	82692	20	2750	3.32559	0.0355294	35	0
chr22_KI270875v1_alt	1	259914	99	12471	4.79813	0.0566495	36	1.84
chr22_KI270878v1_alt	1	186262	81	11226	6.02699	0.0643824	35.3	21.1
chr22_KI270879v1_alt	1	304135	96	13184	4.33492	0.0472816	35.6	9.5
chr22_KI270876v1_alt	1	263666	82	11480	4.35399	0.0466992	35.5	0.659
chr22_KI270877v1_alt	1	101331	30	4388	4.33036	0.044705	36	0
chr22_GL383583v2_alt	1	96924	29	4304	4.44059	0.0451797	35.7	0
chr22_GL383582v2_alt	1	162811	42	5786	3.55381	0.0386952	35.8	0.333
chrX_KI270880v1_alt	1	284869	63	8272	2.90379	0.0326466	35.3	1.32
chrX_KI270881v1_alt	1	144206	28	3778	2.61986	0.0291597	35.3	24.2
chr19_KI270882v1_alt	1	248807	10	1402	0.563489	0.00604485	34.4	0
chr19_KI270883v1_alt	1	170399	8	1194	0.700708	0.00708924	36.6	0
chr19_KI270884v1_alt	1	157053	2	302	0.192292	0.00192292	35.5	0
