## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
HG002_PCR_FREE	1644253	472274253	4593193	2576241	526268	56887779	5802003	0.120802	1971207926

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
100.0	4.745479	3	0	4
101.0	0	5	0	4
102.0	0	3	0	3
103.0	0	1	0	1
104.0	0	1	0	1
105.0	0	1	0	1
106.0	0	2	0	2
108.0	0	2	0	2
109.0	0	2	0	2
110.0	0	1	0	1
112.0	0	4	0	4
113.0	0	3	0	3
114.0	0	1	0	1
115.0	0	1	0	1
116.0	0	2	0	2
117.0	0	1	0	1
118.0	0	2	0	2
119.0	0	1	0	1
120.0	0	4	0	4
123.0	0	2	0	2
124.0	0	1	0	1
126.0	0	1	0	1
127.0	0	2	0	2
128.0	0	0	0	1
129.0	0	1	0	0
130.0	0	2	0	3
131.0	0	2	0	2
132.0	0	3	0	2
133.0	0	1	0	1
134.0	0	1	0	1
135.0	0	2	0	2
137.0	0	2	0	2
139.0	0	2	0	2
140.0	0	3	0	3
141.0	0	2	0	2
142.0	0	1	0	1
143.0	0	2	0	2
145.0	0	2	0	2
146.0	0	2	0	2
149.0	0	3	0	3
151.0	0	2	0	2
152.0	0	1	0	1
155.0	0	1	0	1
161.0	0	1	0	1
163.0	0	1	0	1
165.0	0	1	0	1
169.0	0	2	0	2
171.0	0	1	0	1
173.0	0	2	0	2
179.0	0	1	0	1
182.0	0	1	0	1
184.0	0	1	0	1
192.0	0	1	0	2
193.0	0	2	0	1
195.0	0	1	0	1
205.0	0	1	0	1
207.0	0	1	0	1
208.0	0	1	0	1
211.0	0	1	0	1
214.0	0	1	0	1
231.0	0	2	0	2
237.0	0	1	0	1
244.0	0	1	0	1
245.0	0	1	0	1
260.0	0	1	0	1
274.0	0	1	0	1
286.0	0	1	0	1
292.0	0	1	0	1
321.0	0	1	0	1
345.0	0	1	0	1
346.0	0	1	0	1
356.0	0	1	0	1
369.0	0	1	0	1
399.0	0	1	0	1
443.0	0	1	0	1
478.0	0	1	0	1
487.0	0	1	0	1
492.0	0	1	0	1
504.0	0	0	0	1
505.0	0	1	0	0
520.0	0	1	0	1
526.0	0	1	0	1
785.0	0	1	0	1
822.0	0	0	0	1
825.0	0	1	0	0
862.0	0	1	0	1
889.0	0	1	0	1
987.0	0	0	0	1
992.0	0	1	0	0
1022.0	0	1	0	1
1091.0	0	0	0	1
1100.0	0	1	0	0
1326.0	0	1	0	1
1845.0	0	1	0	1
2131.0	0	0	0	1
2132.0	0	1	0	0
2193.0	0	1	0	1
5372.0	0	0	0	1
5397.0	0	1	0	0
5879.0	0	0	0	1
5887.0	0	1	0	0
